word,part_of_speech,stem
word,,
a,,
a-,,
a 1,,
aam,noun,
aard-vark,noun,
aard-wolf,noun,
aaronic,adjective,
aaronical,adjective,
aaron's rod,,
ab-,,
ab,noun,
abaca,noun,
abacinate,verb,
abacination,noun,
abaciscus,noun,
abacist,noun,
aback,adverb,
aback,noun,
abactinal,adjective,
abaction,noun,
abactor,noun,
abaculi,,
abaculus,noun,
abacuses,,
abaci,,
abacus,noun,
abada,noun,
abaddon,noun,
abaft,,
abaft,adverb,
abaisance,noun,
abaiser,noun,
abaist,,
abalienate,verb,
abalienation,noun,
abalone,noun,
aband,verb,
abandoned,,
abandoning,,
abandon,verb,
abandon,noun,
abandoned,adjective,
abandonedly,adverb,
abandonee,noun,
abandoner,noun,
abandonment,noun,
abandum,noun,
abanet,noun,
abanga,noun,
abannation,noun,
abannition,noun,
abarticulation,noun,
abased,,
abasing,,
abase,adjective,
abased,adjective,
abasedly,adverb,
abasement,noun,
abaser,noun,
abashed,,
abashing,,
abash,verb,
abashedly,adverb,
abashment,noun,
abassi,noun,
abassis,noun,
abatable,adjective,
abated,,
abating,,
abate,verb,
abate,noun,
abatement,noun,
abater,noun,
abatis,noun,
abattis,noun,
abatised,adjective,
abator,noun,
abattoirs,,
abattoir,noun,
abature,noun,
abatvoix,noun,
abawed,,
abaxial,adjective,
abaxile,adjective,
abay,noun,
abb,noun,
abba,noun,
abbacies,,
abbacy,noun,
abbatial,adjective,
abbatical,adjective,
abbe,noun,
abbess,noun,
abbeys,,
abbey,noun,
abbot,noun,
abbotship,noun,
abbreviated,,
abbreviating,,
abbreviate,verb,
abbreviate,adjective,
abbreviate,noun,
abbreviated,adjective,
abbreviation,noun,
abbreviator,noun,
abbreviatory,adjective,
abbreviature,noun,
abb wool,,
a b c,,
abdal,noun,
abderian,adjective,
abderite,noun,
abdest,noun,
abdicable,adjective,
abdicant,adjective,
abdicant,noun,
abdicated,,
abdicating,,
abdicate,verb,
abdication,noun,
abdicative,adjective,
abdicator,noun,
abditive,adjective,
abditory,noun,
abdomen,noun,
abdominal,adjective,
abdominals,,
abdominales,,
abdominal,noun,
abdominales,noun,
abdominalia,noun,
abdominoscopy,noun,
abdominothoracic,adjective,
abdominous,adjective,
abduced,,
abducing,,
abduce,verb,
abducted,,
abducting,,
abduct,verb,
abduction,noun,
abductor,noun,
abeam,adverb,
abear,verb,
abearance,noun,
abearing,noun,
abecedarian,noun,
abecedarian,adjective,
abecedary,adjective,
abecedary,noun,
abed,adverb,
abegge,,
abele,noun,
abelian,noun,
abelite,noun,
abelonian,noun,
abelmosk,noun,
aber-de-vine,noun,
aberr,verb,
aberrance,noun,
aberrancy,noun,
aberrant,adjective,
aberrate,verb,
aberration,noun,
aberrational,adjective,
aberuncate,verb,
aberuncator,noun,
abetted,,
abetting,,
abet,verb,
abet,noun,
abetment,noun,
abettal,noun,
abetter,noun,
abettor,noun,
abevacuation,noun,
abeyance,noun,
abeyancy,noun,
abeyant,adjective,
abhal,noun,
abhominable,adjective,
abhominal,adjective,
abhorred,,
abhorring,,
abhor,verb,
abhorrence,noun,
abhorrency,noun,
abhorrent,adjective,
abhorrently,adverb,
abhorrer,noun,
abhorrible,adjective,
abhorring,noun,
abib,noun,
abidance,noun,
abode,,
abid,,
abiding,,
abide,verb,
abider,noun,
abiding,adjective,
abidingly,adverb,
abies,noun,
abietene,noun,
abietic,adjective,
abietin,noun,
abietine,noun,
abietinic,adjective,
abietite,noun,
abigail,noun,
abiliment,noun,
abilities,,
ability,noun,
abime,noun,
abyme,noun,
abiogenesis,noun,
abiogenetic,adjective,
abiogenist,noun,
abiogenous,adjective,
abiogeny,noun,
abiological,adjective,
abirritant,noun,
abirritate,verb,
abirritation,noun,
abirritative,adjective,
abit,,
abject,adjective,
abject,noun,
abjectedness,noun,
abjection,noun,
abjectly,adverb,
abjectness,noun,
abjudge,verb,
abjudicate,verb,
abjudication,noun,
abjugate,verb,
abjunctive,adjective,
abjuration,noun,
abjuratory,adjective,
abjured,,
abjuring,,
abjure,verb,
abjurement,noun,
abjurer,noun,
ablactate,verb,
ablactation,noun,
ablaqueate,verb,
ablaqueation,noun,
ablastemic,adjective,
ablation,noun,
ablatitious,adjective,
ablative,adjective,
ablative,,
ablaut,noun,
ablaze,adverb,
able,,
able,adjective,
-able,,
able-bodied,adjective,
ablegate,verb,
ablegate,noun,
ablegation,noun,
able-minded,adjective,
ableness,noun,
ablepsy,noun,
abler,adjective,
ablet,,
ablen,,
abligate,verb,
abligurition,noun,
ablins,adverb,
abloom,adverb,
ablude,verb,
abluent,adjective,
abluent,noun,
ablush,adverb,
ablution,noun,
ablutionary,adjective,
abluvion,noun,
ably,adverb,
-ably,,
abnegated,,
abnegating,,
abnegate,verb,
abnegation,noun,
abnegative,adjective,
abnegator,noun,
abnet,noun,
abnodate,verb,
abnodation,noun,
abnormal,adjective,
abnormalities,,
abnormality,noun,
abnormally,adverb,
abnormities,,
abnormity,noun,
abnormous,adjective,
